iter	Passed	Remaining
611	936	594
612	937	592
613	938	589
614	939	588
615	940	586
616	940	583
617	941	581
618	942	579
619	943	577
620	943	576
621	944	574
622	945	572
623	945	570
624	946	568
625	947	566
626	948	564
627	948	562
628	949	560
629	950	558
630	951	556
631	952	554
632	952	552
633	953	550
634	954	548
635	955	546
636	955	544
637	956	542
638	957	540
639	958	539
640	959	537
641	959	535
642	960	533
643	961	531
644	962	529
645	963	527
646	963	525
647	964	523
648	965	522
649	966	520
650	967	518
651	967	516
652	968	514
653	969	512
654	970	510
655	970	509
656	971	507
657	972	505
658	973	503
659	974	501
660	974	499
661	975	498
662	976	496
663	977	494
664	978	492
665	978	490
666	979	489
667	980	487
668	981	485
669	982	483
670	982	481
671	983	480
672	984	478
673	985	476
674	986	474
675	986	473
676	987	471
677	988	469
678	989	467
679	989	465
680	990	464
681	991	462
682	992	460
683	993	458
684	993	456
685	994	455
686	995	453
687	996	451
688	996	449
689	997	448
690	998	446
691	999	444
692	1000	443
693	1000	441
694	1001	439
695	1002	437
696	1003	436
697	1003	434
698	1004	432
699	1005	430
700	1006	429
701	1006	427
702	1007	425
703	1008	423
704	1009	422
705	1009	420
706	1010	418
707	1010	416
708	1011	415
709	1012	413
710	1013	411
711	1013	410
712	1014	408
713	1015	406
714	1016	405
715	1016	403
716	1017	401
717	1018	399
718	1019	398
719	1019	396
720	1020	394
721	1021	393
722	1021	391
723	1022	389
724	1023	388
725	1024	386
726	1024	384
727	1025	383
728	1026	381
729	1027	379
730	1027	378
731	1028	376
732	1029	374
733	1029	373
734	1030	371
735	1031	369
736	1032	368
737	1032	366
738	1033	365
739	1034	363
740	1035	361
741	1035	360
742	1036	358
743	1037	356
744	1038	355
745	1038	353
746	1039	352
747	1040	350
748	1041	348
749	1041	347
750	1042	345
751	1043	344
752	1043	342
753	1044	340
754	1045	339
755	1046	337
756	1047	336
757	1047	334
758	1048	332
759	1049	331
760	1050	329
761	1050	328
762	1051	326
763	1052	325
764	1052	323
765	1053	321
766	1054	320
767	1055	318
768	1055	317
769	1056	315
770	1057	314
771	1058	312
772	1058	310
773	1059	309
774	1060	307
775	1061	306
776	1061	304
777	1062	303
778	1063	301
779	1064	300
780	1064	298
781	1065	297
782	1066	295
783	1066	293
784	1067	292
785	1068	290
786	1069	289
787	1069	287
788	1070	286
789	1071	284
790	1072	283
791	1072	281
792	1073	280
793	1074	278
794	1075	277
795	1076	275
796	1076	274
797	1077	272
798	1078	271
799	1079	269
800	1080	268
801	1080	266
802	1081	265
803	1082	263
804	1083	262
805	1083	260
806	1084	259
807	1085	257
808	1085	256
809	1086	254
810	1087	253
811	1088	251
812	1088	250
813	1089	248
814	1090	247
815	1091	246
816	1091	244
817	1092	243
818	1093	241
819	1093	240
820	1094	238
821	1095	237
822	1095	235
823	1096	234
824	1097	232
825	1098	231
826	1098	229
827	1099	228
828	1100	226
829	1100	225
830	1101	224
831	1102	222
832	1103	221
833	1104	219
834	1104	218
835	1105	216
836	1106	215
837	1107	214
838	1107	212
839	1108	211
840	1109	209
841	1110	208
842	1110	206
843	1111	205
844	1112	204
845	1112	202
846	1113	201
847	1114	199
848	1115	198
849	1115	196
850	1116	195
851	1117	194
852	1118	192
853	1118	191
854	1119	189
855	1120	188
856	1120	187
857	1121	185
858	1122	184
859	1123	182
860	1123	181
861	1124	180
862	1125	178
863	1126	177
864	1126	175
865	1127	174
866	1128	173
867	1128	171
868	1129	170
869	1130	168
870	1131	167
871	1132	166
872	1132	164
873	1133	163
874	1134	162
875	1135	160
876	1135	159
877	1136	157
878	1137	156
879	1138	155
880	1139	153
881	1139	152
882	1140	151
883	1141	149
884	1142	148
885	1142	147
886	1143	145
887	1144	144
888	1145	142
889	1145	141
890	1146	140
891	1147	138
892	1148	137
893	1149	136
894	1149	134
895	1150	133
896	1151	132
897	1152	130
898	1152	129
899	1153	128
900	1154	126
901	1155	125
902	1155	124
903	1156	122
904	1157	121
905	1158	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1161	113
911	1162	112
912	1163	110
913	1164	109
914	1165	108
915	1165	106
916	1166	105
917	1167	104
918	1168	102
919	1169	101
920	1170	100
921	1170	99
922	1171	97
923	1172	96
924	1173	95
925	1174	93
926	1174	92
927	1175	91
928	1176	89
929	1177	88
930	1178	87
931	1178	86
932	1179	84
933	1180	83
934	1181	82
935	1182	80
936	1182	79
937	1183	78
938	1184	76
939	1185	75
940	1186	74
941	1186	73
942	1187	71
943	1188	70
944	1189	69
945	1190	67
946	1191	66
947	1192	65
948	1192	64
949	1193	62
950	1194	61
951	1195	60
952	1196	58
953	1197	57
954	1197	56
955	1198	55
956	1199	53
957	1200	52
958	1200	51
959	1201	50
960	1202	48
961	1203	47
962	1204	46
963	1205	45
964	1205	43
965	1206	42
966	1207	41
967	1208	39
968	1208	38
969	1209	37
970	1210	36
971	1211	34
972	1211	33
973	1212	32
974	1213	31
975	1214	29
976	1215	28
977	1216	27
978	1216	26
979	1217	24
980	1218	23
981	1219	22
982	1220	21
983	1221	19
984	1221	18
985	1222	17
986	1223	16
987	1224	14
988	1225	13
989	1225	12
990	1226	11
991	1227	9
992	1228	8
993	1228	7
994	1229	6
995	1230	4
996	1231	3
997	1231	2
998	1232	1
999	1233	0
